,EIN,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
24,10623527,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
25,10629331,MAGDALENA OLD TIMERS REUNION ASSOCIATION,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
26,10631060,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
27,10635952,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,44004,1
28,10637680,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
29,10637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
30,10637920,MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,323466,1
31,10638860,CLEAR UP SKIN CARE,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
32,10639038,STAR TOURING AND RIDING SACARMENTO CHAPTER 153,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
33,10641003,SHERIFFS COMMUNITY ORGANIZED POLICING EFFORTS,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
34,10642634,DOCTORS OFFERING CHARITABLE SERVICES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
35,10648919,G A P MINISTRIES,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
36,10655941,MELLOWTONES BIG BAND INC,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
37,10656131,SAI HUMANITARIAN INSTITUTE OF LEARNING AND HEALING,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
38,10656251,RIVERVIEW 2,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
39,10656605,ERASTO R BATONGMALAQUE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
40,10662680,TIFTON JUDICIAL CIRCUIT SHELTER INC,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,709815,0
41,10664127,IBEW LOCAL 180 HOLDING COMPANY,T2,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1329410,0
42,10669807,ORLANDO PARROT HEADS OF CENTRAL FLORIDA INC,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
43,10671224,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
44,10672368,HOLY SPIRIT CHURCH AND INSTITUTE INC,T3,Independent,C7200,Preservation,Trust,1,0,N,5000,1
45,10681022,K-9 SEARCH AND RESCUE OF ORANGE CITY INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
46,10681362,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
47,10687111,SOUTHERN CALIFORNIA NATURIST ASSOCIATION,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
48,10691782,MOSES SONG MINISTRIES,T3,Independent,C1700,Preservation,Trust,1,0,N,5000,1
49,10692183,VINCI PARK HOME AND SCHOOL CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
50,10693398,CENTER HELPING OBESITY IN CHILDREN END SUCCESSFULLY INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31613,1
51,10694045,FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,1549352,0
52,10698492,FUN RAISERS FOR CHARITY,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,0
53,10702652,CAFA INC,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,577113,0
54,10704382,HIDDEN JEWELS,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,44623,0
55,10714556,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,64868,0
56,10722752,SEHOME PTSA 8-3-100,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,131620,0
57,10725791,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
58,10728655,APEX PROFESSIONAL SERVICES INC,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,306133,1
59,10731855,FRESH START YOUTH SERVICES INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,66916,1
60,10739048,ENVIROLOGICAL SERVICES LLC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
61,10741195,METHOW RECYCLES,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,236206,1
62,10743229,LEAVENWORTH SKI HILL HERITAGE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
63,10747219,REDWOOD CITY POLICE OFFICERS ASSOCIATION,T5,Independent,C1000,ProductDev,Trust,1,100000-499999,N,393704,1
64,10751555,PARENTS HELPING PARENTS INC,T3,Family/Parent,C2000,Preservation,Trust,1,0,N,5000,1
65,10753792,ANYAS CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
66,10757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,T9,Independent,C1000,ProductDev,Trust,1,10M-50M,N,9955466,1
67,10757957,DEPARTEMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,94869,0
68,10767844,VETERANS OF FOREIGN WARS OF THE US MENS AUXILIARY OF FLORIDA,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
69,10770184,KEITH NIX MINISTRIES,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,6501,1
70,10782045,HIXSON YOUTH ATHLETIC ASSOCIATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
71,10786082,T W MINISTRIES INC,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,5000,1
72,10787050,CRG MEDICAL FOUNDATION FOR PATIENT SAFETY,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
73,10788363,NORTHEAST MONTANA FORT PECK TRIBAL M A S H UNIT,T3,Independent,C4000,Preservation,Trust,1,0,N,5000,1
74,10790158,TEAMS IN ACTION,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
75,10792599,TEXAS STATE TEACHERS ASSOCIATION,T5,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
76,10792931,NATIONAL NETWORK OF ABORTION FUNDS,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
77,10795050,TEXAS LETTERING ARTS COUNCIL,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,36607,1
78,10796052,GRACE KINGDOM CHURCH,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
79,10799064,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
80,10800756,40 WASHINGTON TENT,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
81,10801061,FORT WORTH HOPE CENTER,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,484855,1
82,10809220,NATIVE AMERICAN MISSIONS SUPPORT,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,0
83,10811961,INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,137272,1
84,10817613,WALKER MINISTRIES INC,T3,Independent,C7100,Preservation,Trust,1,25000-99999,N,5000,1
85,10817701,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
86,10819786,ROTARY CLUB OF APPLE VALLEY FOUNDATION,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,101980,0
87,10824858,ANIMAL CARE TRUST,T3,Independent,C4000,Preservation,Trust,1,1M-5M,N,4410503,0
88,10827666,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
89,10831976,BECOMING AN OUTDOORS-WOMAN CALIFORNIA INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
90,10832329,TEXAS MASTER NATURALIST,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
91,10833427,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,15477,0
92,10840977,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
93,10843787,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
94,10844545,COOL WATER MINISTRIES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
95,10845123,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
96,10845329,CIVITAN INTERNATIONAL,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
97,10845382,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
98,10846155,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
99,10846449,INTERNATIONAL ASSOCIATION OF JEWISH GENEALOGICAL SOCIETIES INC,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
100,10846459,LOUSIANA GARDEN CLUB FEDERATION INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
101,10847217,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
102,10848225,YOUTH MEDIA MINDS OF AMERICA,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,24211,1
103,10850344,SPIRIT KEY INC,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,9868,1
104,10850944,PROTECTING & ENSURING THEIR SURVIVAL INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
105,10856712,TENNESSEE ORDER OF THE EASTERN STAR,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
106,10856925,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
107,10857765,HILLSIDE COALITION OF LABORERS FOR APALACHICOLA INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
108,10862365,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
109,10863368,GUINEA FOWL INTERNATIONAL ASSOCIATION,T3,Independent,C2800,Preservation,Trust,1,0,N,5000,1
110,10864531,ALABAMA FEDERATION OF WOMENS CLUBS,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
111,10865411,SUSTAINING COMMUNITY LANDS INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
112,10865479,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
113,10865482,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
114,10868003,GOSPEL AT NEW GENERATION,T3,Independent,C1700,Preservation,Trust,1,10000-24999,N,5000,1
115,10868265,COVENANT OF LOVE UUL CORP,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,5000,1
116,10868438,INTERNATIONAL FEDERATION OF FLY FISHERS INC,T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,5000,1
117,10868590,VOICES FOR AFRICAN AMERICAN STUDENTS,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
118,10869469,PARAKLETOS,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
119,10874048,INTERNATIONAL RAFTING FEDERATION,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
120,10875323,KNIGHTS OF COLUMBUS,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
121,10882371,SHERIFFS OFFICE LEAGUE OF VOLUNTEERS,T3,Independent,C6000,Preservation,Trust,1,0,N,5000,1
122,10882460,AAMA STATE OF OREGON SOCIETY LINN- BENTON CHAPTER,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
123,10882484,FEDERAL ASIAN PACIFIC AMERICAN COUNCIL SOUTHWEST,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
124,10885913,COMPASSION IN ACTION CLUB,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
125,10886335,THE LAS VEGAS CHAPTER OF THE SOCIETY INC,T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
126,10887359,CAJUN FRENCH MUSIC ASSOCIATION OF LOUISIANA INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
127,10887630,ARIZONA PETROLEUM MARKETERS ASSOCIATION SCHOLARSHIP FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
128,10887732,INTERNATIONAL UPPER CERVICAL PATIENT ADVOCATES ASSOCIATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
129,10889332,EXPEDIENTE ROJO PROJECT,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
130,10893582,CULTURALLY YOURS INT L,T3,Independent,C2100,Preservation,Trust,1,1-9999,N,5000,1
131,10898286,CYPRESS WOODS HIGH SCHOOL ORCHESTRA PARENTS ASSOCIATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
132,10899845,SOUTHERN ARIZONA LOGISTICS EDUCATION ORGANIZATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
133,10899909,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
134,10902695,DALLAS AREA REPRODUCTIVE ENDOCRINOLOGIST,T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,5000,1
135,10903595,JUST MATH INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
136,10908934,GURDWARA DASMESH DARBAR,T3,Independent,C1700,Preservation,Trust,1,25000-99999,N,638229,1
137,10910501,KNIGHTS OF ST FRANCIS OF ASSISI,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,20520,1
138,10912758,COTTLE FOUNDATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
139,10913802,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
140,10913889,YOUNG MEN OF HONOR,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
141,10914371,REGINA SEARCY FOUNDATION INC,T3,Independent,C1238,Preservation,Trust,1,0,N,5000,1
142,10914547,EDMOND FFA PARENTS CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
143,10914803,LIMPOPO WRITING PROJECT,T3,Independent,C1000,Preservation,Association,1,1-9999,N,5000,1
144,10919429,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
145,10919470,A DOLLAR TODAY INC,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,8160,1
146,10920172,RAINIER EDUCATION ASSOCIATION,T5,Independent,C3000,ProductDev,Trust,1,0,N,5000,0
147,10920788,HOUSE 2 HOME ENTERPRISE CRESHINDA CLARK,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
148,10923261,DISABLED AMERICAN VETERANS,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,5000,0
149,10926177,OUT OF THE BOAT SWIM,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
150,10930718,SIUSLAW AREA PARTNERSHIP TO PREVENT SUBSTANCE ABUSE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
151,10931153,DEPT OF GEORGIA LADIES AUXILIARY THE VFW OF THE UNITED STATES,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
152,10932514,HUMBLE ISD EDUCATIONAL SUPPORT GROUPS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,34879,0
153,10933037,ICTPA-SOUTHERN CALIFORNIA CHAPTER,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
154,10933175,HAZEL WOLF K-8 PTSA 6 15 24,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,205120,0
155,10933202,FREE WILL MINISTRY,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
156,10933668,GEORGIA ASSOCIATION OF TEACHERS OF FAMILY AND CONSUMER SCIENCES,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
157,10933751,NEW CREATION EVANGELISM,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
158,10936099,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
159,10942580,WELL DISCIPLESHIP TRAINING SCHOOL INC,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,12829,1
160,10942588,KINGDOM FELLOWSHIP TABERNACLE,T3,Independent,C7000,Preservation,Trust,1,25000-99999,N,452970,1
161,10944516,THE@FOUNDATION FOR COMMUNITY DEVELOPMENT AND EMPOWERMENT,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,72961,1
162,10945185,AMVETS,T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
163,10947092,BRIER FAMILY AND TEACHER CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
164,10947364,COMMUNITY COLLEGE PUBLIC RELATIONS ORGANIZATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
165,10947974,KANEOHE OFFICERS SPOUSES CLUB,T4,Independent,C1000,ProductDev,Co-operative,1,0,N,5000,1
166,10949204,SLOW FOOD USA INC,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
167,10950466,CORNERSTONE EVANGELICAL COMMUNITY CHURCH,T3,Independent,C7000,ProductDev,Trust,1,10000-24999,N,12860,1
168,10951573,VFW AUXILIARY DEPT OF HAWAII,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
169,10953706,OR DEAL INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
170,10957717,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
171,10959162,SKYLL,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
172,10960304,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
173,10960733,UNIVERSITY OF WYOMING,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
174,10960970,LEGACY LA YOUTH DEVELOPMENT CORPORATION,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,696502,0
175,10962504,COVENANT WORD MINISTRIES,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
176,10962669,CHILDRENS VOICES FOR CHARITY INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
177,10964184,ANGOLAN ASSOCIATION IN LOUISIANA INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
178,10964993,SOCIETY OF ST VINCENT DE PAUL,T3,CompanySponsored,C7000,Preservation,Association,1,100000-499999,N,259589,0
179,10965274,CAPITOL LAKE IMPROVEMENT AND PROTECTION ASSOCIATION,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
180,10966484,GALVESTON FIRST AFRICAN AMERICAN MUSEUM,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
181,10967102,JEWISH STUDIES INITIATIVE OF NORTH TEXAS,T3,Independent,C7000,Preservation,Trust,1,10000-24999,N,5213,0
182,10967257,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
183,10967342,SOCCER DEALERS ASSOCIATION,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
184,10968080,ST CATHERINE OF SIENA CUF CHAPTER INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
185,10970424,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
186,10970789,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
187,10971360,CAPITAL AREA SUBURAN EXCHANGE,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,49112,1
188,10973033,SWEET ADELINES INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
189,10973441,NEW BEGINNING MINISTRIES INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
190,10975096,BROTHER JOHNS MINISTRIES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
191,10975346,INTERNATIONAL MOUNTAIN BICYCLING ASSOCIATION - COLORADO,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,86584,1
192,10976744,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
193,10977153,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
194,16192565,RUDOLPH & FLORENCE NADBATH CHARITABLE TRUST,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,4108874,1
195,16231970,BURBANK EMPLOYEES RETIREE MEDICAL TR,T9,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,25175802,1
196,16233557,MULLINS PATHOLOGY & CYTOLOGY LABORATORY PC EWBPT,T9,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
197,16269871,INLAND NORTHWEST SHEET METAL LABOR MGT COOP TRUST,T5,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,132449,1
198,20154003,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
199,20547041,HILTON MINISTRIES,T3,Independent,C7120,Preservation,Association,1,0,N,5000,1
200,20549134,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
201,20550024,THETA NU XI MULTICULTURAL SORORITY INC,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
202,20552790,VISION BROADCASTING OF POPLAR BLUFF,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
203,20552849,FRIENDS REACHING INSPIRING & EDUCATING NEIGHBORS ABOUT DOWN SYN,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,73686,1
204,20553177,SIGN WITH ME INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
205,20555782,TENN SOC INTERNATIONAL PAIN SPEC,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
206,20559026,AZLE CARING CENTER,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,723426,1
207,20562254,SLOW FOOD USA INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
208,20568487,SONS OF ITALY IN AMERICA,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
209,20576519,HEMET PUBLIC SAFETY MANAGEMENT ASSOCIATION,T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
210,20584427,NORTHWIND ARTS CENTER,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,521883,1
211,20587726,WICHITA FALLS HIGHSCHOOL PARENT TEACHER STUDENT ORGANIZATION,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
212,20592364,FRIENDS OF ARTS & HUMANITIES INC,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,855350,1
213,20594382,THE HERITAGE EDUCATION GROUP,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
214,20597460,SNOHOMISH HIGH SCHOOL PANTHER PARENTS CLUB,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
215,20597868,INTERNATIONAL SHUFFLEBOARD ASSOCIATION INC,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
